'FB', datetime.datetime(2012, 9, 9), datetime.datetime(2012, 9, 11)
'AMZN', datetime.datetime(2012, 9, 8), datetime.datetime(2012, 9, 10)
'AAPL', datetime.datetime(2012, 9, 8), datetime.datetime(2012, 9, 10)
'TWTR', datetime.datetime(2012, 9, 8), datetime.datetime(2012, 9, 10)
'AMZN', datetime.datetime(2012, 9, 7), datetime.datetime(2012, 9, 9)
'TWTR', datetime.datetime(2012, 9, 7), datetime.datetime(2012, 9, 9)
'FB', datetime.datetime(2012, 9, 5), datetime.datetime(2012, 9, 7)
'FB', datetime.datetime(2012, 9, 4), datetime.datetime(2012, 9, 6)
'FB', datetime.datetime(2012, 9, 4), datetime.datetime(2012, 9, 6)
'EBAY', datetime.datetime(2012, 9, 4), datetime.datetime(2012, 9, 6)
'TWTR', datetime.datetime(2012, 9, 4), datetime.datetime(2012, 9, 6)
'FB', datetime.datetime(2012, 9, 4), datetime.datetime(2012, 9, 6)
'TWTR', datetime.datetime(2012, 9, 4), datetime.datetime(2012, 9, 6)
'KEY', datetime.datetime(2012, 9, 4), datetime.datetime(2012, 9, 6)
'EBAY', datetime.datetime(2012, 9, 3), datetime.datetime(2012, 9, 5)
'FB', datetime.datetime(2012, 9, 3), datetime.datetime(2012, 9, 5)
'FB', datetime.datetime(2012, 9, 3), datetime.datetime(2012, 9, 5)
'PFE', datetime.datetime(2012, 9, 3), datetime.datetime(2012, 9, 5)
'AAPL', datetime.datetime(2012, 9, 1), datetime.datetime(2012, 9, 3)
'AAPL', datetime.datetime(2012, 8, 31), datetime.datetime(2012, 9, 2)
'GPS', datetime.datetime(2012, 8, 30), datetime.datetime(2012, 9, 1)
'FB', datetime.datetime(2012, 8, 29), datetime.datetime(2012, 8, 31)
'FB', datetime.datetime(2012, 8, 28), datetime.datetime(2012, 8, 30)
'EBAY', datetime.datetime(2012, 8, 28), datetime.datetime(2012, 8, 30)
'EBAY', datetime.datetime(2012, 8, 27), datetime.datetime(2012, 8, 29)
'WMB', datetime.datetime(2012, 8, 27), datetime.datetime(2012, 8, 29)
'AAPL', datetime.datetime(2012, 8, 27), datetime.datetime(2012, 8, 29)
'WMB', datetime.datetime(2012, 8, 27), datetime.datetime(2012, 8, 29)
'TWTR', datetime.datetime(2012, 8, 26), datetime.datetime(2012, 8, 28)
'WMB', datetime.datetime(2012, 8, 26), datetime.datetime(2012, 8, 28)
'AAPL', datetime.datetime(2012, 8, 26), datetime.datetime(2012, 8, 28)
'TWTR', datetime.datetime(2012, 8, 25), datetime.datetime(2012, 8, 27)
'TWTR', datetime.datetime(2012, 8, 25), datetime.datetime(2012, 8, 27)
'TWTR', datetime.datetime(2012, 8, 25), datetime.datetime(2012, 8, 27)
'TWTR', datetime.datetime(2012, 8, 25), datetime.datetime(2012, 8, 27)
'AAPL', datetime.datetime(2012, 8, 25), datetime.datetime(2012, 8, 27)
'AAPL', datetime.datetime(2012, 8, 25), datetime.datetime(2012, 8, 27)
'TWTR', datetime.datetime(2012, 8, 25), datetime.datetime(2012, 8, 27)
'AAPL', datetime.datetime(2012, 8, 24), datetime.datetime(2012, 8, 26)
'AAPL', datetime.datetime(2012, 8, 24), datetime.datetime(2012, 8, 26)
'WMT', datetime.datetime(2012, 8, 23), datetime.datetime(2012, 8, 25)
'WMB', datetime.datetime(2012, 8, 22), datetime.datetime(2012, 8, 24)
'FB', datetime.datetime(2012, 8, 22), datetime.datetime(2012, 8, 24)
'TWTR', datetime.datetime(2012, 8, 22), datetime.datetime(2012, 8, 24)
